# Fonte canônica do backlog do GitHub.
# Formato TSV: code, sprint_number, sprint, milestone, story_points, priority, type, areas, risk, status, dependencies, title.
# Prioridades ausentes no roadmap original foram normalizadas provisoriamente como P1; GOV mantém os valores explícitos.
# A matriz de Milestones segue os nomes oficiais do roadmap e resolve as linhas de entrega intermediária inconsistentes.
code	sprint_number	sprint	milestone	story_points	priority	type	areas	risk	status	dependencies	title
GOV-001	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	3	P0	type:docs	area:security	risk:medium	status:ready	—	Criar Milestones, labels e GitHub Project
GOV-002	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	5	P0	type:docs	area:security	risk:medium	status:ready	—	Criar `CONTRIBUTING.md`, `SECURITY.md`, `CODE_OF_CONDUCT.md` e licença
GOV-003	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	3	P1	type:docs	area:security	risk:medium	status:ready	—	Criar templates de Issue e Pull Request
GOV-004	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	3	P0	type:docs	area:security	risk:medium	status:ready	—	Criar `CODEOWNERS` e política de revisão
GOV-005	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	5	P0	type:docs	area:security	risk:medium	status:ready	—	Configurar Ruleset da branch `main`
GOV-006	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	5	P0	type:release	area:security,area:frontend,area:backend,area:freebsd	risk:medium	status:ready	—	Unificar versão do front-end, backend e pacote
GOV-007	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	3	P0	type:docs	area:security,area:backend	risk:medium	status:ready	—	Decidir e corrigir o module path Go
GOV-008	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	2	P1	type:release	area:security	risk:medium	status:ready	—	Criar tag imutável `v0.3.5-lab`
GOV-009	0	Sprint 0 — Governança e baseline verificável	v0.4.0 — Engineering Baseline	5	P0	type:docs	area:security	risk:medium	status:ready	—	Executar a primeira PR completa pela CI
QLT-001	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	3	P1	type:ci	area:backend	risk:medium	status:blocked	GOV-009	Adicionar `gofmt`, `goimports` e verificação de diff
QLT-002	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	8	P1	type:ci	area:backend	risk:medium	status:blocked	GOV-009	Configurar `golangci-lint`
QLT-003	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	8	P1	type:ci	area:frontend	risk:medium	status:blocked	GOV-009	Adicionar ESLint com configuração flat e análise type-aware
QLT-004	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	5	P1	type:ci	area:frontend	risk:medium	status:blocked	GOV-009	Adicionar regras React, Hooks e acessibilidade JSX
QLT-005	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	3	P1	type:ci	area:frontend	risk:medium	status:blocked	GOV-009	Configurar Prettier
QLT-006	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	3	P1	type:ci	area:backend	risk:medium	status:blocked	GOV-009	Adicionar ShellCheck e `shfmt`
QLT-007	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	5	P1	type:ci	area:backend	risk:medium	status:blocked	GOV-009	Adicionar `actionlint` e `zizmor` para workflows
QLT-008	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	3	P1	type:ci	area:backend	risk:medium	status:blocked	GOV-009	Adicionar Markdownlint e YAMLlint
QLT-009	1	Sprint 1 — Linters, formatadores e qualidade estática	v0.4.0 — Engineering Baseline	2	P1	type:ci	area:backend	risk:medium	status:blocked	GOV-009	Criar hooks locais com `pre-commit` ou Lefthook
CICD-001	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	8	P1	type:ci	area:security	risk:high	status:blocked	QLT-009	Executar e corrigir integralmente o workflow existente
CICD-002	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	5	P1	type:ci	area:security	risk:high	status:blocked	QLT-009	Separar checks rápidos de PR e checks completos
CICD-003	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	5	P1	type:ci	area:security,area:backend	risk:high	status:blocked	QLT-009	Adicionar CodeQL para Go e JavaScript/TypeScript
CICD-004	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	3	P1	type:ci	area:security	risk:high	status:blocked	QLT-009	Adicionar Dependency Review Action
CICD-005	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	5	P1	type:ci	area:security	risk:high	status:blocked	QLT-009	Adicionar OSV-Scanner e Trivy filesystem
CICD-006	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	5	P1	type:ci	area:security,area:backend	risk:high	status:blocked	QLT-009	Adicionar Semgrep com regras Go/TypeScript
CICD-007	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	5	P1	type:ci	area:security	risk:high	status:blocked	QLT-009	Fixar GitHub Actions por commit SHA
CICD-008	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	3	P1	type:ci	area:security	risk:high	status:blocked	QLT-009	Configurar OpenSSF Scorecard
CICD-009	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	3	P1	type:docs	area:security	risk:high	status:blocked	QLT-009	Adicionar análise de licenças
CICD-010	2	Sprint 2 — CI e segurança de supply chain	v0.5.0 — Verified CI/CD	5	P1	type:ci	area:security	risk:high	status:blocked	QLT-009	Publicar resultados SARIF na aba Security
REL-001	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	3	P1	type:release	area:security	risk:high	status:blocked	CICD-010	Adotar Conventional Commits
REL-002	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	5	P1	type:release	area:security	risk:high	status:blocked	CICD-010	Configurar Release Please ou equivalente
REL-003	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	3	P1	type:release	area:security	risk:high	status:blocked	CICD-010	Gerar `CHANGELOG.md` automaticamente
REL-004	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	5	P1	type:release	area:security	risk:high	status:blocked	CICD-010	Criar workflow de prerelease
REL-005	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	8	P1	type:release	area:security,area:frontend,area:freebsd	risk:high	status:blocked	CICD-010	Produzir pacote FreeBSD e frontend-dist na mesma release
REL-006	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	5	P1	type:release	area:security,area:backend,area:freebsd	risk:high	status:blocked	CICD-010	Gerar SBOM separado para Go, npm e pacote final
REL-007	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	5	P1	type:ci	area:security	risk:high	status:blocked	CICD-010	Gerar attestations de build
REL-008	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	3	P1	type:release	area:security	risk:high	status:blocked	CICD-010	Criar checksums e assinatura verificável
REL-009	3	Sprint 3 — Release engineering e CD	v0.5.0 — Verified CI/CD	3	P1	type:release	area:security	risk:high	status:blocked	CICD-010	Preservar artefato anterior para rollback
FE-001	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	5	P1	type:test	area:frontend	risk:medium	status:blocked	CICD-001	Estabilizar Playwright/MSW em CI
FE-002	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	8	P1	type:test	area:frontend,area:backend,area:agent	risk:medium	status:blocked	CICD-001	Estabilizar Playwright com API Go e agente fixture
FE-003	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	8	P1	type:security	area:frontend,area:security	risk:medium	status:blocked	CICD-001	Criar tela de ativação e rotação de MFA
FE-004	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	5	P1	type:security	area:frontend	risk:medium	status:blocked	CICD-001	Implementar gestão de recovery codes
FE-005	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	5	P1	type:security	area:frontend	risk:medium	status:blocked	CICD-001	Melhorar expiração, renovação e revogação de sessão
FE-006	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	5	P1	type:feature	area:frontend	risk:medium	status:blocked	CICD-001	Integrar axe-core para acessibilidade
FE-007	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	3	P1	type:feature	area:frontend	risk:medium	status:blocked	CICD-001	Implantar budgets de bundle e performance
FE-008	4	Sprint 4 — Front-end real e E2E	v0.6.0 — Production Front-end	6	P1	type:test	area:frontend	risk:medium	status:blocked	CICD-001	Testar proxy HTTPS em ambiente efêmero
OBS-001	5	Sprint 5 — Observabilidade, resiliência e hardening	v0.7.0 — FreeBSD Read-only	8	P1	type:feature	area:observability	risk:high	status:blocked	FE-002	Endpoint protegido de métricas Prometheus
OBS-002	5	Sprint 5 — Observabilidade, resiliência e hardening	v0.7.0 — FreeBSD Read-only	5	P1	type:feature	area:observability,area:backend,area:agent	risk:high	status:blocked	FE-002	Métricas de API, jobs, locks, agente e autenticação
OBS-003	5	Sprint 5 — Observabilidade, resiliência e hardening	v0.7.0 — FreeBSD Read-only	8	P1	type:feature	area:observability	risk:high	status:blocked	FE-002	Exportação de eventos RFC 5424
OBS-004	5	Sprint 5 — Observabilidade, resiliência e hardening	v0.7.0 — FreeBSD Read-only	8	P1	type:security	area:observability,area:security	risk:high	status:blocked	FE-002	TLS para encaminhamento ao SIEM
